
lo               UNKNOWN        00:00:00:00:00:00 <LOOPBACK,UP,LOWER_UP> 
eth0             UP             0c:00:3f:4b:0e:00 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp1             UP             aa:c1:ab:85:f0:b3 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp2             UP             aa:c1:ab:82:c1:09 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp3             UP             aa:c1:ab:1e:78:a9 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp4             UP             aa:c1:ab:1f:a8:cd <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp5             UP             aa:c1:ab:ec:19:d8 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp6             UP             aa:c1:ab:d5:b2:58 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp7             UP             aa:c1:ab:2c:13:a0 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp8             UP             aa:c1:ab:1d:bb:ea <BROADCAST,MULTICAST,UP,LOWER_UP> 
mgmt             UP             f2:8c:46:8f:f0:04 <NOARP,MASTER,UP,LOWER_UP> 
swp1.100@swp1    UP             aa:c1:ab:85:f0:b3 <BROADCAST,MULTICAST,UP,LOWER_UP> 
tenant-k8s       UP             42:aa:90:34:b6:4e <NOARP,MASTER,UP,LOWER_UP> 
swp2.100@swp2    UP             aa:c1:ab:82:c1:09 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp3.100@swp3    UP             aa:c1:ab:1e:78:a9 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp4.100@swp4    UP             aa:c1:ab:1f:a8:cd <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp5.100@swp5    UP             aa:c1:ab:ec:19:d8 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp6.100@swp6    UP             aa:c1:ab:d5:b2:58 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp1.200@swp1    UP             aa:c1:ab:85:f0:b3 <BROADCAST,MULTICAST,UP,LOWER_UP> 
tenant-svc       UP             46:be:34:0f:f6:8a <NOARP,MASTER,UP,LOWER_UP> 
swp2.200@swp2    UP             aa:c1:ab:82:c1:09 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp3.200@swp3    UP             aa:c1:ab:1e:78:a9 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp4.200@swp4    UP             aa:c1:ab:1f:a8:cd <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp5.200@swp5    UP             aa:c1:ab:ec:19:d8 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp6.200@swp6    UP             aa:c1:ab:d5:b2:58 <BROADCAST,MULTICAST,UP,LOWER_UP> 
